Venue Name,Venue Physical Address,Region,Country,Full Address,Latitude,Longitude
CROWDED HOUSE BAR & CAFE,"93-99 DEVON STREET EAST
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"CROWDED HOUSE BAR & CAFE 93-99 DEVON STREET EAST
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.0566987,174.0771006
NAG N NOGGIN,"57 TUKAPA STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"NAG N NOGGIN 57 TUKAPA STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.0716667,174.0622222
THE HAIRY DOG,"33 RATA STREET
INGLEWOOD
TARANAKI 4651",Taranaki,New Zealand,"THE HAIRY DOG 33 RATA STREET
INGLEWOOD
TARANAKI 4651 Taranaki New Zealand ",-39.156002,174.2062988
THE SALTY DOG CAFE & BAR,"493-497 ST AUBYN STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"THE SALTY DOG CAFE & BAR 493-497 ST AUBYN STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.0632192,174.0457249
THE FITZ,"601 DEVON STREET EAST
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"THE FITZ 601 DEVON STREET EAST
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.0505714,174.1048449
ICON'S STADIUM BAR,"CORNER BROUGHAM AND ARIKI STREETS
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"ICON'S STADIUM BAR CORNER BROUGHAM AND ARIKI STREETS
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.0575023,174.072751
TREEHOUSE BAR & BISTRO,"463-471 DEVON STREET WEST
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"TREEHOUSE BAR & BISTRO 463-471 DEVON STREET WEST
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.065927,174.0482371
SHIFTY'S SPORTS BAR & TAB,"2 NUGENT STREET
BELL BLOCK
NEW PLYMOUTH 4601",Taranaki,New Zealand,"SHIFTY'S SPORTS BAR & TAB 2 NUGENT STREET
BELL BLOCK
NEW PLYMOUTH 4601 Taranaki New Zealand ",-39.0355556,174.1422222
STUMBLE INN & CAFE,"198 MANGOREI ROAD
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"STUMBLE INN & CAFE 198 MANGOREI ROAD
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.0663889,174.1027778
Westside Grille,"41 TUKAPA STREET
WESTOWN
NEW PLYMOUTH 4601",Taranaki,New Zealand,"Westside Grille 41 TUKAPA STREET
WESTOWN
NEW PLYMOUTH 4601 Taranaki New Zealand ",-39.0707125,174.0629466
SPORTY'S CAFE/BAR,"50 SACKVILLE STREET
FITZROY
NEW PLYMOUTH 4601",Taranaki,New Zealand,"SPORTY'S CAFE/BAR 50 SACKVILLE STREET
FITZROY
NEW PLYMOUTH 4601 Taranaki New Zealand ",-39.0488649,174.1018016
TAB FITZROY,"545 DEVON STREET EAST
FITZROY
NEW PLYMOUTH 4601",Taranaki,New Zealand,"TAB FITZROY 545 DEVON STREET EAST
FITZROY
NEW PLYMOUTH 4601 Taranaki New Zealand ",-39.0493469,174.1014876
TAB New Plymouth,"10/4 Egmont Street
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310
NEW ZEALAND",Taranaki,New Zealand,"TAB New Plymouth 10/4 Egmont Street
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310
NEW ZEALAND Taranaki New Zealand ",-39.0570185,174.0700053
CINEMA EXPRESS CAFE AND BAR,"125 DEVON STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"CINEMA EXPRESS CAFE AND BAR 125 DEVON STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.0564102,174.0778888
THE MASONIC HOTEL,"9 MCLEAN STREET
WAITARA
TARANAKI 4320",Taranaki,New Zealand,"THE MASONIC HOTEL 9 MCLEAN STREET
WAITARA
TARANAKI 4320 Taranaki New Zealand ",-39.0011111,174.2383333
Bridge Cafe & Bar,"MCLEAN STREET
WAITARA
TARANAKI 4320",Taranaki,New Zealand,"Bridge Cafe & Bar MCLEAN STREET
WAITARA
TARANAKI 4320 Taranaki New Zealand ",-39.0008538,174.2388355
PEGGY GORDONS,"58 EGMONT STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310",Taranaki,New Zealand,"PEGGY GORDONS 58 EGMONT STREET
NEW PLYMOUTH CENTRAL
NEW PLYMOUTH 4310 Taranaki New Zealand ",-39.0584039,174.0715897
URENUI BAY HOTEL,"14 WHAKAPAKI STREET
URENUI
TARANAKI 4655",Taranaki,New Zealand,"URENUI BAY HOTEL 14 WHAKAPAKI STREET
URENUI
TARANAKI 4655 Taranaki New Zealand ",-38.9972662,174.3892929
WAITARA DISTRICT SERVICES AND CITIZENS CLUB,"38 QUEEN STREET
WAITARA
TARANAKI 4320",Taranaki,New Zealand,"WAITARA DISTRICT SERVICES AND CITIZENS CLUB 38 QUEEN STREET
WAITARA
TARANAKI 4320 Taranaki New Zealand ",-39.0019678,174.2382297
WAITARA TOWN & COUNTRY CLUB,"WEST QUAY
WAITARA
TARANAKI 4320",Taranaki,New Zealand,"WAITARA TOWN & COUNTRY CLUB WEST QUAY
WAITARA
TARANAKI 4320 Taranaki New Zealand ",-38.9999009,174.2378381
OPOTIKI COUNTY RETURNED SERVICES ASSOCIATION,"103-105 ST JOHN STREET
OPOTIKI
OPOTIKI DISTRICT 3122
NEW ZEALAND",Bay of Plenty,New Zealand,"OPOTIKI COUNTY RETURNED SERVICES ASSOCIATION 103-105 ST JOHN STREET
OPOTIKI
OPOTIKI DISTRICT 3122
NEW ZEALAND Bay of Plenty New Zealand ",-38.0055484,177.2867383
OPOTIKI HOTEL,"CORNER CHURCH AND KELLY STREET
OPOTIKI
OPOTIKI DISTRICT 3092",Bay of Plenty,New Zealand,"OPOTIKI HOTEL CORNER CHURCH AND KELLY STREET
OPOTIKI
OPOTIKI DISTRICT 3092 Bay of Plenty New Zealand ",-38.0031061,177.2845502
SLIM'S BAR,"17 ELLIOT STREET
OPOTIKI
OPOTIKI DISTRICT 3092",Bay of Plenty,New Zealand,"SLIM'S BAR 17 ELLIOT STREET
OPOTIKI
OPOTIKI DISTRICT 3092 Bay of Plenty New Zealand ",-38.004047,177.2855932
MASONIC HOTEL,"CORNER CHURCH AND ELLIOT STREETS
OPOTIKI
OPOTIKI DISTRICT 3092",Bay of Plenty,New Zealand,"MASONIC HOTEL CORNER CHURCH AND ELLIOT STREETS
OPOTIKI
OPOTIKI DISTRICT 3092 Bay of Plenty New Zealand ",-38.0040534,177.2843657
OTOROHANGA WORKINGMEN'S CLUB,"107 MANIAPOTO STREET
OTOROHANGA
WAIKATO 3900",Waikato,New Zealand,"OTOROHANGA WORKINGMEN'S CLUB 107 MANIAPOTO STREET
OTOROHANGA
WAIKATO 3900 Waikato New Zealand ",-38.1882291,175.2104339
KAWHIA HOTEL,"811 & 849 POWEWE STREET
KAWHIA
WAIKATO 3889",Waikato,New Zealand,"KAWHIA HOTEL 811 & 849 POWEWE STREET
KAWHIA
WAIKATO 3889 Waikato New Zealand ",-38.0635,174.8221097
ASHHURST MEMORIAL RSA,"74 CAMBRIDGE AVENUE
ASHHURST
MANAWATU 4847
NEW ZEALAND",Manawatu-Wanganui,New Zealand,"ASHHURST MEMORIAL RSA 74 CAMBRIDGE AVENUE
ASHHURST
MANAWATU 4847
NEW ZEALAND Manawatu-Wanganui New Zealand ",-40.2916667,175.7547222
THE COBB,"522-532 MAIN STREET EAST
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",Manawatu-Wanganui,New Zealand,"THE COBB 522-532 MAIN STREET EAST
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301 Manawatu-Wanganui New Zealand ",-40.3547222,175.6155556
Trader McKendrys,"38-40 FITZHERBERT AVENUE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",Manawatu-Wanganui,New Zealand,"Trader McKendrys 38-40 FITZHERBERT AVENUE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301 Manawatu-Wanganui New Zealand ",-40.3581298,175.612414
The Daily,"511 MAIN STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301
NEW ZEALAND",Manawatu-Wanganui,New Zealand,"The Daily 511 MAIN STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301
NEW ZEALAND Manawatu-Wanganui New Zealand ",-40.3545029,175.6141924
MANAWATU DARTS ASSOCIATION HALL,"324 TREMAINE AVENUE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 4412
NEW ZEALAND",Manawatu-Wanganui,New Zealand,"MANAWATU DARTS ASSOCIATION HALL 324 TREMAINE AVENUE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 4412
NEW ZEALAND Manawatu-Wanganui New Zealand ",-40.3501617,175.5885615
ALBERT SPORTS BAR,"692-700 MAIN STREET EAST
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",Manawatu-Wanganui,New Zealand,"ALBERT SPORTS BAR 692-700 MAIN STREET EAST
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301 Manawatu-Wanganui New Zealand ",-40.350792,175.6249879
BUNNYTHORPE TAVERN,"CORNER DIXONS LINE AND CAMPBELL ROAD
BUNNYTHORPE
MANAWATU 5453",Manawatu-Wanganui,New Zealand,"BUNNYTHORPE TAVERN CORNER DIXONS LINE AND CAMPBELL ROAD
BUNNYTHORPE
MANAWATU 5453 Manawatu-Wanganui New Zealand ",-40.2817329,175.6303636
THE BIRDCAGE BAR,"61 VOGEL STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",Manawatu-Wanganui,New Zealand,"THE BIRDCAGE BAR 61 VOGEL STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301 Manawatu-Wanganui New Zealand ",-40.3317842,175.6313442
PALMERSTON NORTH COSMOPOLITAN CLUB,"22 LINTON STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 4410
NEW ZEALAND",Manawatu-Wanganui,New Zealand,"PALMERSTON NORTH COSMOPOLITAN CLUB 22 LINTON STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 4410
NEW ZEALAND Manawatu-Wanganui New Zealand ",-40.359531,175.609698
WILLOW PARK TAVERN,"820 TREMAINE AVENUE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",Manawatu-Wanganui,New Zealand,"WILLOW PARK TAVERN 820 TREMAINE AVENUE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301 Manawatu-Wanganui New Zealand ",-40.3349594,175.6214426
THE STUNNED MULLET,"1 THE SQUARE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",Manawatu-Wanganui,New Zealand,"THE STUNNED MULLET 1 THE SQUARE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301 Manawatu-Wanganui New Zealand ",-40.355886,175.60931
CLOVERLEA NEIGHBOURHOOD TAVERN,"301 TREMAINE AVENUE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",Manawatu-Wanganui,New Zealand,"CLOVERLEA NEIGHBOURHOOD TAVERN 301 TREMAINE AVENUE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301 Manawatu-Wanganui New Zealand ",-40.3512383,175.5836792
MASONIC HOTEL,"249 MAIN STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 4410
NEW ZEALAND",Manawatu-Wanganui,New Zealand,"MASONIC HOTEL 249 MAIN STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 4410
NEW ZEALAND Manawatu-Wanganui New Zealand ",-40.3590067,175.6044216
THE ROYAL HOTEL,"44-54 RANGITIKEI STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",Manawatu-Wanganui,New Zealand,"THE ROYAL HOTEL 44-54 RANGITIKEI STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301 Manawatu-Wanganui New Zealand ",-40.35409,175.609864
Sportsman's Bar,"217-223 FEATHERSTON STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",Manawatu-Wanganui,New Zealand,"Sportsman's Bar 217-223 FEATHERSTON STREET
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301 Manawatu-Wanganui New Zealand ",-40.356708,175.621098
TAB Palmerston North,"28-32 Fitzherbert Avenue 
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 4410
NEW ZEALAND",Manawatu-Wanganui,New Zealand,"TAB Palmerston North 28-32 Fitzherbert Avenue 
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 4410
NEW ZEALAND Manawatu-Wanganui New Zealand ",-40.3580865,175.6123909
THE OFFICE,"514-516 MAIN STREET EAST
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",Manawatu-Wanganui,New Zealand,"THE OFFICE 514-516 MAIN STREET EAST
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301 Manawatu-Wanganui New Zealand ",-40.3546164,175.6145183
Railway Hotel and Legends Bar,"271-275 MAIN STREET WEST
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",Manawatu-Wanganui,New Zealand,"Railway Hotel and Legends Bar 271-275 MAIN STREET WEST
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301 Manawatu-Wanganui New Zealand ",-40.3587396,175.6055181
ROSIE O'GRADYS PALMERSTON NORTH,"96-100 FITZHERBERT AVENUE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",Manawatu-Wanganui,New Zealand,"ROSIE O'GRADYS PALMERSTON NORTH 96-100 FITZHERBERT AVENUE
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301 Manawatu-Wanganui New Zealand ",-40.359385,175.613242
The Workshop,"171 FAIRS ROAD
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",Manawatu-Wanganui,New Zealand,"The Workshop 171 FAIRS ROAD
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301 Manawatu-Wanganui New Zealand ",-40.3381853,175.5992097
Milanos Pizza & Grill,"503 MAIN STREET EAST
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301",Manawatu-Wanganui,New Zealand,"Milanos Pizza & Grill 503 MAIN STREET EAST
PALMERSTON NORTH CENTRAL
PALMERSTON NORTH 5301 Manawatu-Wanganui New Zealand ",-40.354704,175.613821
Metro Bar,"5 LYDNEY PLACE
PORIRUA
WELLINGTON 6006",Wellington,New Zealand,"Metro Bar 5 LYDNEY PLACE
PORIRUA
WELLINGTON 6006 Wellington New Zealand ",-41.1353481,174.8417908
The Co-Op Kitchen & Bar,"69A Discovery Drive
PORIRUA
WELLINGTON 5024
NEW ZEALAND",Wellington,New Zealand,"The Co-Op Kitchen & Bar 69A Discovery Drive
PORIRUA
WELLINGTON 5024
NEW ZEALAND Wellington New Zealand ",-41.1173658,174.8928658
North City Tenpin,"35 KENEPURU DRIVE
PORIRUA
WELLINGTON 6006",Wellington,New Zealand,"North City Tenpin 35 KENEPURU DRIVE
PORIRUA
WELLINGTON 6006 Wellington New Zealand ",-41.1476405,174.8417065
SANDBAR PUB,"103 MANA ESPLANADE
MANA-CAMBORNE
PORIRUA 6006",Wellington,New Zealand,"SANDBAR PUB 103 MANA ESPLANADE
MANA-CAMBORNE
PORIRUA 6006 Wellington New Zealand ",-41.0920156,174.8678596
THE MARINER,"19 WHITEHOUSE ROAD
TITAHI BAY
PORIRUA 6006",Wellington,New Zealand,"THE MARINER 19 WHITEHOUSE ROAD
TITAHI BAY
PORIRUA 6006 Wellington New Zealand ",-41.1087231,174.8377757
Blend N Brew Bar,"SHOP 2 10 COBHAM COURT
PORIRUA
WELLINGTON 6006",Wellington,New Zealand,"Blend N Brew Bar SHOP 2 10 COBHAM COURT
PORIRUA
WELLINGTON 6006 Wellington New Zealand ",-41.1352972,174.84048
PORIRUA CLUB,"LODGE PLACE
PORIRUA
WELLINGTON 6006",Wellington,New Zealand,"PORIRUA CLUB LODGE PLACE
PORIRUA
WELLINGTON 6006 Wellington New Zealand ",-41.1363783,174.8397205
PORIRUA RETURNED SERVICES ASSOCIATION INC,"5 MCKILLOP STREET
PORIRUA
WELLINGTON 5024
NEW ZEALAND",Wellington,New Zealand,"PORIRUA RETURNED SERVICES ASSOCIATION INC 5 MCKILLOP STREET
PORIRUA
WELLINGTON 5024
NEW ZEALAND Wellington New Zealand ",-41.1377621,174.8487713
TAB PORIRUA,"2 SERLBY PLACE
PORIRUA
WELLINGTON 6006",Wellington,New Zealand,"TAB PORIRUA 2 SERLBY PLACE
PORIRUA
WELLINGTON 6006 Wellington New Zealand ",-41.1344892,174.8405407
TITAHI BAY BOWLING CLUB,"13A TIRETI ROAD
TITAHI BAY
PORIRUA 6006",Wellington,New Zealand,"TITAHI BAY BOWLING CLUB 13A TIRETI ROAD
TITAHI BAY
PORIRUA 6006 Wellington New Zealand ",-41.1076078,174.8379611
THE LEDGE,"1 Serlby Place
PORIRUA
WELLINGTON 5022
NEW ZEALAND",Wellington,New Zealand,"THE LEDGE 1 Serlby Place
PORIRUA
WELLINGTON 5022
NEW ZEALAND Wellington New Zealand ",-41.1342983,174.8405756
WATER BAR,"145 ARDMORE STREET
WANAKA
OTAGO 9305",Otago,New Zealand,"WATER BAR 145 ARDMORE STREET
WANAKA
OTAGO 9305 Otago New Zealand ",-44.6956664,169.1339175
NEW ORLEANS HOTEL,"27 BUCKINGHAM STREET
ARROWTOWN
OTAGO 9196",Otago,New Zealand,"NEW ORLEANS HOTEL 27 BUCKINGHAM STREET
ARROWTOWN
OTAGO 9196 Otago New Zealand ",-44.9383741,168.8316881
PUB ON WHARF,"STEAMER WHARF 88 BEACH STREET
QUEENSTOWN
OTAGO 9197",Otago,New Zealand,"PUB ON WHARF STEAMER WHARF 88 BEACH STREET
QUEENSTOWN
OTAGO 9197 Otago New Zealand ",-45.0330896,168.65787
WANAKA BULLOCK BAR,"71 ARDMORE STREET
WANAKA
OTAGO 9305",Otago,New Zealand,"WANAKA BULLOCK BAR 71 ARDMORE STREET
WANAKA
OTAGO 9305 Otago New Zealand ",-44.6942414,169.1374951
FITZPATRICK'S IRISH PUB,"59 BROWNSTON STREET
WANAKA
OTAGO 9305",Otago,New Zealand,"FITZPATRICK'S IRISH PUB 59 BROWNSTON STREET
WANAKA
OTAGO 9305 Otago New Zealand ",-44.6965904,169.1362762
FRANKTON ARM TAVERN,"14 YEWLETT CRESCENT
QUEENSTOWN
OTAGO 9197",Otago,New Zealand,"FRANKTON ARM TAVERN 14 YEWLETT CRESCENT
QUEENSTOWN
OTAGO 9197 Otago New Zealand ",-45.0176506,168.7275848
Rangitikei Tavern,"148 BRIDGE STREET BULLS
BULLS
MANAWATU 4818
NEW ZEALAND",Manawatu-Wanganui,New Zealand,"Rangitikei Tavern 148 BRIDGE STREET BULLS
BULLS
MANAWATU 4818
NEW ZEALAND Manawatu-Wanganui New Zealand ",-40.1743707,175.3849985
CAPTAIN COOK'S BAR & CAFE,"301 BROADWAY
MARTON
MANAWATU 5460",Manawatu-Wanganui,New Zealand,"CAPTAIN COOK'S BAR & CAFE 301 BROADWAY
MARTON
MANAWATU 5460 Manawatu-Wanganui New Zealand ",-40.0685731,175.3786884
GRETNA HOTEL,"HAUTAPU STREET
TAIHAPE
MANAWATU 5457",Manawatu-Wanganui,New Zealand,"GRETNA HOTEL HAUTAPU STREET
TAIHAPE
MANAWATU 5457 Manawatu-Wanganui New Zealand ",-39.6758333,175.7983333
STATION HOTEL,"22-24 HIGH STREET
HUNTERVILLE
MANAWATU 5455",Manawatu-Wanganui,New Zealand,"STATION HOTEL 22-24 HIGH STREET
HUNTERVILLE
MANAWATU 5455 Manawatu-Wanganui New Zealand ",-39.9371883,175.5717687
CLUB HOTEL MARTON,"17 HIGH STREET
MARTON
MANAWATU 5460",Manawatu-Wanganui,New Zealand,"CLUB HOTEL MARTON 17 HIGH STREET
MARTON
MANAWATU 5460 Manawatu-Wanganui New Zealand ",-40.068926,175.3771646
Crates n Cues Bar,"1237 PUKUATUA STREET
ROTORUA CENTRAL
ROTORUA 3201",Bay of Plenty,New Zealand,"Crates n Cues Bar 1237 PUKUATUA STREET
ROTORUA CENTRAL
ROTORUA 3201 Bay of Plenty New Zealand ",-38.1366116,176.2494458
VC'S TURF BAR,"1184 ARAWA STREET
ROTORUA CENTRAL
ROTORUA 3201",Bay of Plenty,New Zealand,"VC'S TURF BAR 1184 ARAWA STREET
ROTORUA CENTRAL
ROTORUA 3201 Bay of Plenty New Zealand ",-38.1347355,176.2522066
THE SIDEPOCKET BAR,"1129 HINEMOA STREET
ROTORUA CENTRAL
ROTORUA 3201",Bay of Plenty,New Zealand,"THE SIDEPOCKET BAR 1129 HINEMOA STREET
ROTORUA CENTRAL
ROTORUA 3201 Bay of Plenty New Zealand ",-38.1373964,176.2528241
H2O Gaming & Sports Bar,"318 MALFROY ROAD
HILLCREST
ROTORUA DISTRICT 3201",Bay of Plenty,New Zealand,"H2O Gaming & Sports Bar 318 MALFROY ROAD
HILLCREST
ROTORUA DISTRICT 3201 Bay of Plenty New Zealand ",-38.1446128,176.2376737
MO'S BAR,"1142-1144 TUTANEKAI STREET
ROTORUA CENTRAL
ROTORUA 3201",Bay of Plenty,New Zealand,"MO'S BAR 1142-1144 TUTANEKAI STREET
ROTORUA CENTRAL
ROTORUA 3201 Bay of Plenty New Zealand ",-40.3480866,175.6265511
KASPERS SPORTS BAR,"1302 TUTANEKAI STREET
ROTORUA CENTRAL
ROTORUA 3201",Bay of Plenty,New Zealand,"KASPERS SPORTS BAR 1302 TUTANEKAI STREET
ROTORUA CENTRAL
ROTORUA 3201 Bay of Plenty New Zealand ",-41.1087047,174.8399933
HENNESSY'S IRISH BAR,"1208-1210 TUTANEKAI STREET
ROTORUA CENTRAL
ROTORUA 3201",Bay of Plenty,New Zealand,"HENNESSY'S IRISH BAR 1208-1210 TUTANEKAI STREET
ROTORUA CENTRAL
ROTORUA 3201 Bay of Plenty New Zealand ",-45.0303769,168.6600759
RUCK N MAUL,"1279 AMOHIA STREET
ROTORUA CENTRAL
ROTORUA 3201",Bay of Plenty,New Zealand,"RUCK N MAUL 1279 AMOHIA STREET
ROTORUA CENTRAL
ROTORUA 3201 Bay of Plenty New Zealand ",-44.6832272,169.1888976
Four Winds Tavern,"Te Ngae Shopping Centre
Te Ngae Road
ROTORUA CENTRAL
ROTORUA 3010
NEW ZEALAND",Bay of Plenty,New Zealand,"Four Winds Tavern Te Ngae Shopping Centre
Te Ngae Road
ROTORUA CENTRAL
ROTORUA 3010
NEW ZEALAND Bay of Plenty New Zealand ",-38.1393037,176.2534563
WOOLSHED TAVERN,"3820 BROADLANDS ROAD
REPOROA
ROTORUA DISTRICT 3292",Bay of Plenty,New Zealand,"WOOLSHED TAVERN 3820 BROADLANDS ROAD
REPOROA
ROTORUA DISTRICT 3292 Bay of Plenty New Zealand ",-38.14485,176.2371207
VILLAGE SPORTS BAR/CAFE,"262 NGONGOTAHA ROAD
NGONGOTAHA
ROTORUA DISTRICT 3202",Bay of Plenty,New Zealand,"VILLAGE SPORTS BAR/CAFE 262 NGONGOTAHA ROAD
NGONGOTAHA
ROTORUA DISTRICT 3202 Bay of Plenty New Zealand ",-38.1346773,176.2521159
TAB Rotorua,"1156 ERUERA STREET
ROTORUA CENTRAL
ROTORUA 3010
NEW ZEALAND",Bay of Plenty,New Zealand,"TAB Rotorua 1156 ERUERA STREET
ROTORUA CENTRAL
ROTORUA 3010
NEW ZEALAND Bay of Plenty New Zealand ",-38.1349028,176.249092
ROTORUA CITIZENS CLUB,"Corner Arawa & Rangiuru Streets
1146 Rangiuru Street
ROTORUA CENTRAL
ROTORUA 3010
NEW ZEALAND",Bay of Plenty,New Zealand,"ROTORUA CITIZENS CLUB Corner Arawa & Rangiuru Streets
1146 Rangiuru Street
ROTORUA CENTRAL
ROTORUA 3010
NEW ZEALAND Bay of Plenty New Zealand ",-38.1347102,176.2503168
ROTORUA CLUB,"274 FENTON STREET
ROTORUA WEST
ROTORUA 3201",Bay of Plenty,New Zealand,"ROTORUA CLUB 274 FENTON STREET
ROTORUA WEST
ROTORUA 3201 Bay of Plenty New Zealand ",-38.1493958,176.256244
ROTORUA COMMERCIAL TRAVELLERS ASSOCIATION INCORPORATED,"MONCUR DRIVE
TIHIOTONGA
ROTORUA 3201",Bay of Plenty,New Zealand,"ROTORUA COMMERCIAL TRAVELLERS ASSOCIATION INCORPORATED MONCUR DRIVE
TIHIOTONGA
ROTORUA 3201 Bay of Plenty New Zealand ",-38.1642679,176.2398581
Copthorne Hotel Rotorua,"CORNER FENTON STREET AND WARD AVENUE
FENTON PARK
ROTORUA 3010",Bay of Plenty,New Zealand,"Copthorne Hotel Rotorua CORNER FENTON STREET AND WARD AVENUE
FENTON PARK
ROTORUA 3010 Bay of Plenty New Zealand ",-38.1543291,176.2547468
MITCHELL DOWNS TAVERN,"12 GOLDIE STREET
PUKEHANGI
ROTORUA DISTRICT 3201",Bay of Plenty,New Zealand,"MITCHELL DOWNS TAVERN 12 GOLDIE STREET
PUKEHANGI
ROTORUA DISTRICT 3201 Bay of Plenty New Zealand ",-38.1380719,176.2060651
Selwyn Tavern,"14-16 KOKAKO STREET
SELWYN HEIGHTS
ROTORUA DISTRICT 3201",Bay of Plenty,New Zealand,"Selwyn Tavern 14-16 KOKAKO STREET
SELWYN HEIGHTS
ROTORUA DISTRICT 3201 Bay of Plenty New Zealand ",-38.1174597,176.2228338
Vault Bar,"1122 HINEMOA STREET
ROTORUA CENTRAL
ROTORUA 3201",Bay of Plenty,New Zealand,"Vault Bar 1122 HINEMOA STREET
ROTORUA CENTRAL
ROTORUA 3201 Bay of Plenty New Zealand ",-38.1381317,176.2530103
BROOKLAND GLASSY JUNCTION,"SHOPS 5-6 2 BROOKLAND ROAD
MANGAKAKAHI
ROTORUA DISTRICT 3201",Bay of Plenty,New Zealand,"BROOKLAND GLASSY JUNCTION SHOPS 5-6 2 BROOKLAND ROAD
MANGAKAKAHI
ROTORUA DISTRICT 3201 Bay of Plenty New Zealand ",-38.1292774,176.2196149
WEST END TAVERN,"221-223 OLD TAUPO ROAD
ROTORUA CENTRAL
ROTORUA 3201",Bay of Plenty,New Zealand,"WEST END TAVERN 221-223 OLD TAUPO ROAD
ROTORUA CENTRAL
ROTORUA 3201 Bay of Plenty New Zealand ",-38.14495,176.2376929
OHAKUNE CLUB,"71 GOLDFINCH STREET
OHAKUNE
MANAWATU 5461",Manawatu-Wanganui,New Zealand,"OHAKUNE CLUB 71 GOLDFINCH STREET
OHAKUNE
MANAWATU 5461 Manawatu-Wanganui New Zealand ",-39.4123339,175.4021415
Ohakune Tavern,"66-72 CLYDE STREET
OHAKUNE
MANAWATU 4625
NEW ZEALAND",Manawatu-Wanganui,New Zealand,"Ohakune Tavern 66-72 CLYDE STREET
OHAKUNE
MANAWATU 4625
NEW ZEALAND Manawatu-Wanganui New Zealand ",-39.4186197,175.3993047
